construct_id	construct_name	level
1	combining, combining two adjectives with 'and'	A1
2	modifying, with 'very' 	A1
3	position, attributive (with nouns)	A1
4	position, predicative, with 'be'	A1
5	superlatives, 'my best friend'	A1
11	adverbs and adverb phrases: types and meanings, 'very' + adjectives	A1
12	adverbs and adverb phrases: types and meanings, 'very' + time adverbs 	A1
13	adverbs and adverb phrases: types and meanings, degree and time, modifying verbs	A1
14	adverbs and adverb phrases: types and meanings, place, complement	A1
15	position, degree, before adjectives	A1
16	position, frequency, mid position	A1
17	position, front position	A1
18	position, 'really,'  mid position 	A1
19	position, time, end position	A1
20	position, place, end position	A1
21	adverb phrases - form, 'very' + adverb	A1
22	coordinated, main clause + main clause	A1
23	coordinated, clause + clause, ellipted subject	A1
24	declarative, affirmative declarative	A1
25	declarative, negative declarative with 'be'	A1
26	declarative, negative declarative, lexical verbs	A1
27	declarative, affirmative declarative, modal auxiliary verbs	A1
28	interrogatives, affirmative interrogative, with 'be'	A1
30	coordinating, word + word	A1
31	coordinating, phrase + phrase	A1
32	coordinating, clause + clause	A1
33	coordinating, sentence + sentence	A1
36	subordinating, 'because' 	A1
37	articles, with nouns 	A1
38	articles, 'a' + adjectives	A1
39	articles, 'a' + 'very' + adjectives	A1
40	articles, preposition + 'the' + noun	A1
41	articles, preposition + no article	A1
43	demonstratives, 'this' with singular nouns	A1
46	possessives, with nouns	A1
47	quantity, with plural nouns 	A1
48	quantity, with singular nouns	A1
49	future with will and shall, affirmative 'will'	A1
51	can, affirmative	A1
52	can, negative 	A1
53	can, question 	A1
58	will, affirmative	A1
60	would, affirmative with 'like'	A1
107	negation, main verb 'be'	A1
108	negation, auxiliary verb 'do', present	A1
109	negation, modal verb 'can'	A1
63	noun phrases, determiner + noun	A1
64	noun phrases, determiner + adjective + noun	A1
65	noun phrases, adjective + plural noun	A1
66	noun phrases, noun + noun	A1
67	types, common nouns	A1
68	types, proper nouns	A1
69	types, compound nouns	A1
70	plural, plural '-s'	A1
71	noun phrases - grammatical functions, as subjects 	A1
72	noun phrases - grammatical functions, as objects	A1
73	noun phrases - grammatical functions, as complement of prepositions	A1
74	noun phrases - grammatical functions, as complement of 'be'	A1
75	noun phrases - grammatical functions, as adjuncts	A1
76	past simple, affirmative	A1
78	prepositions, simple	A1
79	prepositions, preposition + noun phrase	A1
80	present continuous, affirmative	A1
82	present simple, affirmative	A1
83	present simple, negative	A1
84	present simple, with 'really'	A1
86	subject/ object, (object) 'it'	A1
87	subject/ object, (object) 'me', 'you', 'her', 'him', 'us', 'them' 	A1
88	subject/ object, (object) with preposition 	A1
89	subject/ object, (subject) 'it' for first person	A1
90	subject/ object, (subject) questions	A1
91	subject/ object, (subject) questions with 'be'	A1
92	subject/ object, (subject) statements	A1
93	indefinite - thing, -one, -body etc, object	A1
94	indefinite - thing, -one, -body etc, 'everything', subject	A1
