task_ID	language	level	EGP_ID	Polke_EGP_ID	supercategory	subcategory	grammar_item	guideword	can_do_statement	examples	task_name	task_type	system_role	system_instructions	student_context
1	English	A2	18	116	ADJECTIVES	comparatives	comparative adjectives	FORM: ENDING IN '-E' + '-R'	can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.	larger, closer, nicer, safer, cuter	Telling a friend about two apartments with comparatives	role play	a friend	I see an image of two apartments, 1 and 2, you do not. Ask short questions about them with comparatives (e.g. 'Is apartment 1 larger?', 'Which apartment is closer to the bus station?').	You see an image of two apartments, 1 and 2. Answer the questions.
2	English	A2	18	116	ADJECTIVES	comparatives	comparative adjectives	FORM: ENDING IN '-E' + '-R'	can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.	larger, closer, nicer, safer, cuter	Telling a friend about two parks with comparatives	role play	a friend	I see an image of two parks, 1 and 2, you do not. Ask short questions about them with comparatives (e.g. 'Is park 1 larger?', 'Which park is nicer?').	You see an image of two parks, 1 and 2. Answer the questions.
3	English	A2	18	116	ADJECTIVES	comparatives	comparative adjectives	FORM: ENDING IN '-E' + '-R'	can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.	larger, closer, nicer, safer, cuter	Telling a friend about two work places with comparatives	role play	a friend	I see an image of two workplaces, 1 and 2, you do not. Ask short questions about them with comparatives (e.g. 'Is work place 1 larger?', 'Which work place is nicer?').	You see an image of two work spaces, 1 and 2. Answer the questions.
4	English	A2	18	116	ADJECTIVES	comparatives	comparative adjectives	FORM: ENDING IN '-E' + '-R'	can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.	larger, closer, nicer, safer, cuter	Telling a friend about two restaurants with comparatives	role play	a friend	I see an image of two restaurants, 1 and 2, you do not. Ask short questions about them with comparatives (e.g. 'Is restaurant 1 larger?', 'Which restaurant is nicer?').	You see an image of two restaurants, 1 and 2. Answer the questions.
5	English	A2	18	116	ADJECTIVES	comparatives	comparative adjectives	FORM: ENDING IN '-E' + '-R'	can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.	larger, closer, nicer, safer, cuter	Telling a friend about two cars with comparatives	role play	a friend	I see an image of two cars, 1 and 2, you do not. Ask short questions about them with comparatives (e.g. 'Is car 1 larger?', 'Which car is nicer?').	You see an image of two cars, 1 and 2. Answer the questions.
6	English	A2	111	148	ADVERBS	adverbs and adverb phrases: types and meanings	degree adverbs	FORM: DEGREE, MODIFYING ADJECTIVES	Can use a range of degree adverbs to modify common gradable adjectives.	really nice, very good, so bad, too hot, quite interesting	Describing family and friends with adverbs and adjectives	Q&A	a friendly English tutor	Tell me about your family and ask me about mine (e.g. 'My family is very big. Is your family very big too?', 'Do you have siblings? Are they really nice?').	Talk about your family members.
7	English	A2	111	148	ADVERBS	adverbs and adverb phrases: types and meanings	degree adverbs	FORM: DEGREE, MODIFYING ADJECTIVES	Can use a range of degree adverbs to modify common gradable adjectives.	really nice, very good, so bad, too hot, quite interesting	Describing countries with adverbs and adjectives	Q&A	a friendly English tutor	Tell me about your country and ask me about mine (e.g. 'My country is very big. Is your country very big too?', 'Is your home town really nice?').	Talk about your country.
8	English	A2	111	148	ADVERBS	adverbs and adverb phrases: types and meanings	degree adverbs	FORM: DEGREE, MODIFYING ADJECTIVES	Can use a range of degree adverbs to modify common gradable adjectives.	really nice, very good, so bad, too hot, quite interesting	Describing your house with adverbs and adjectives	Q&A	a friendly English tutor	Tell me about your home and ask me about mine (e.g. 'My apartment is very small. Is your apartment small too?', 'Is your home really nice?').	Talk about your house.
9	English	A2	111	148	ADVERBS	adverbs and adverb phrases: types and meanings	degree adverbs	FORM: DEGREE, MODIFYING ADJECTIVES	Can use a range of degree adverbs to modify common gradable adjectives.	really nice, very good, so bad, too hot, quite interesting	Describing professions with adverbs and adjectives	Q&A	a friendly English tutor	Tell me about your profession and ask me about mine (e.g. 'I am a teacher. My profession is very difficult. Is your profession difficult too?', 'Is your profession really fun?').	Talk about your profession.
10	English	A2	111	148	ADVERBS	adverbs and adverb phrases: types and meanings	degree adverbs	FORM: DEGREE, MODIFYING ADJECTIVES	Can use a range of degree adverbs to modify common gradable adjectives.	really nice, very good, so bad, too hot, quite interesting	Describing dishes with adverbs and adjectives	Q&A	a friendly English tutor	Tell me your opinion about food and ask me about mine (e.g. 'I like sushi. I think sushi is very tasty. What food do you think is very tasty?', 'Mexican food is too spicy. Do you like food that is very spicy?').	Talk about your opinion about different dishes.
